date,country,channel,device,product_category,users,sessions,product_views,add_to_cart,begin_checkout,purchases,revenue,ad_spend
2026-01-01,Germany,Organic Search,Desktop,Bracelets,286,372,196,35,22,11,932.82,0.0
2026-01-01,Switzerland,Organic Search,Mobile,Earrings,381,518,275,45,27,13,843.71,0.0
2026-01-01,Germany,Organic Search,Tablet,Rings,114,134,67,9,4,1,141.19,0.0
2026-01-01,Switzerland,Paid Search,Desktop,Earrings,308,393,224,26,12,5,307.15,234.46
2026-01-01,Austria,Paid Search,Mobile,Necklaces,327,398,277,23,11,4,438.24,254.75
2026-01-01,Germany,Paid Search,Tablet,Bracelets,65,78,45,5,2,0,0.0,55.93
2026-01-01,Austria,Email,Desktop,Necklaces,160,179,120,18,11,6,648.45,12.23
2026-01-01,Germany,Email,Mobile,Earrings,195,254,133,28,19,10,811.75,14.88
2026-01-01,Germany,Email,Tablet,Necklaces,49,60,32,5,3,1,97.69,1.53
2026-01-01,Austria,Social Media,Desktop,Earrings,258,296,149,15,9,3,222.3,104.54
2026-01-01,Germany,Social Media,Mobile,Rings,319,443,311,54,32,11,1676.8,105.66
2026-01-01,Germany,Social Media,Tablet,Watches,82,92,69,8,4,1,251.81,33.84
2026-01-01,Austria,Direct,Desktop,Rings,204,250,180,27,12,5,940.15,0.0
2026-01-01,Germany,Direct,Mobile,Bracelets,265,348,185,29,13,7,665.24,0.0
2026-01-01,Switzerland,Direct,Tablet,Watches,28,38,24,3,2,1,217.72,0.0
2026-01-01,Germany,Referral,Desktop,Rings,30,36,21,3,1,0,0.0,0.0
2026-01-01,Austria,Referral,Mobile,Necklaces,123,146,68,6,2,0,0.0,0.0
2026-01-01,Germany,Referral,Tablet,Earrings,29,39,19,4,2,0,0.0,0.0
2026-01-02,Germany,Organic Search,Desktop,Earrings,330,416,312,27,17,8,618.73,0.0
2026-01-02,Switzerland,Organic Search,Mobile,Rings,440,576,297,42,24,11,1768.97,0.0
2026-01-02,Austria,Organic Search,Tablet,Earrings,171,210,95,8,5,2,142.59,0.0
2026-01-02,Switzerland,Paid Search,Desktop,Watches,353,401,203,16,9,4,878.29,372.39
2026-01-02,Switzerland,Paid Search,Mobile,Rings,374,496,260,22,14,5,694.04,341.44
2026-01-02,Germany,Paid Search,Tablet,Earrings,82,110,86,7,3,1,62.44,98.47
2026-01-02,Switzerland,Email,Desktop,Necklaces,130,177,120,19,10,5,447.91,4.93
2026-01-02,Austria,Email,Mobile,Rings,196,254,142,26,12,6,840.62,8.33
2026-01-02,Switzerland,Email,Tablet,Bracelets,68,94,50,5,2,1,101.52,6.43
2026-01-02,Switzerland,Social Media,Desktop,Watches,240,334,245,29,18,7,1371.22,73.35
2026-01-02,Austria,Social Media,Mobile,Rings,338,447,254,44,31,12,1694.02,150.52
2026-01-02,Germany,Social Media,Tablet,Bracelets,104,144,81,7,5,1,93.24,55.81
2026-01-02,Germany,Direct,Desktop,Rings,275,312,199,39,24,11,1685.89,0.0
2026-01-02,Germany,Direct,Mobile,Bracelets,333,378,197,22,10,5,472.73,0.0
2026-01-02,Switzerland,Direct,Tablet,Necklaces,137,159,120,10,6,2,179.24,0.0
2026-01-02,Germany,Referral,Desktop,Watches,38,52,39,7,3,1,210.5,0.0
2026-01-02,Switzerland,Referral,Mobile,Earrings,143,181,99,8,5,2,152.3,0.0
2026-01-02,Austria,Referral,Tablet,Rings,76,98,45,9,4,1,142.07,0.0
2026-01-03,Switzerland,Organic Search,Desktop,Earrings,318,399,316,30,21,9,535.87,0.0
2026-01-03,Germany,Organic Search,Mobile,Bracelets,551,654,509,93,47,22,1794.96,0.0
2026-01-03,Germany,Organic Search,Tablet,Earrings,126,163,96,13,7,3,228.28,0.0
2026-01-03,Austria,Paid Search,Desktop,Bracelets,284,343,190,29,13,5,451.49,209.62
2026-01-03,Germany,Paid Search,Mobile,Bracelets,397,494,378,72,36,15,1233.33,424.45
2026-01-03,Austria,Paid Search,Tablet,Bracelets,128,153,80,8,3,1,97.53,74.42
2026-01-03,Switzerland,Email,Desktop,Earrings,186,220,128,17,8,4,259.45,15.01
2026-01-03,Austria,Email,Mobile,Bracelets,185,228,106,12,8,4,406.56,12.71
2026-01-03,Switzerland,Email,Tablet,Earrings,24,30,22,3,2,1,65.85,1.05
2026-01-03,Switzerland,Social Media,Desktop,Necklaces,210,274,197,29,15,5,448.92,81.73
2026-01-03,Austria,Social Media,Mobile,Earrings,353,448,225,24,13,4,244.1,218.7
2026-01-03,Austria,Social Media,Tablet,Earrings,114,130,85,15,10,4,238.58,40.32
2026-01-03,Germany,Direct,Desktop,Watches,238,300,213,33,20,9,1985.03,0.0
2026-01-03,Austria,Direct,Mobile,Bracelets,217,275,188,36,24,13,1145.82,0.0
2026-01-03,Austria,Direct,Tablet,Necklaces,38,53,31,6,3,1,95.87,0.0
2026-01-03,Switzerland,Referral,Desktop,Earrings,82,96,55,10,6,2,119.95,0.0
2026-01-03,Switzerland,Referral,Mobile,Necklaces,193,254,120,25,11,4,434.62,0.0
2026-01-03,Switzerland,Referral,Tablet,Watches,56,76,37,6,3,1,199.92,0.0
2026-01-04,Switzerland,Organic Search,Desktop,Earrings,371,432,219,27,16,8,553.74,0.0
2026-01-04,Switzerland,Organic Search,Mobile,Bracelets,386,512,336,65,33,16,1539.43,0.0
2026-01-04,Austria,Organic Search,Tablet,Rings,121,153,88,13,7,3,480.83,0.0
2026-01-04,Austria,Paid Search,Desktop,Bracelets,243,292,216,38,22,10,962.94,209.97
2026-01-04,Switzerland,Paid Search,Mobile,Necklaces,319,386,217,24,17,7,739.92,283.68
2026-01-04,Austria,Paid Search,Tablet,Watches,110,140,64,12,6,2,417.07,104.73
2026-01-04,Austria,Email,Desktop,Earrings,92,122,65,8,4,2,140.96,2.57
2026-01-04,Austria,Email,Mobile,Watches,159,210,145,17,10,5,1098.82,13.6
2026-01-04,Switzerland,Email,Tablet,Necklaces,31,40,21,3,1,0,0.0,1.96
2026-01-04,Switzerland,Social Media,Desktop,Necklaces,247,300,214,34,25,10,927.49,87.55
2026-01-04,Austria,Social Media,Mobile,Rings,310,347,223,39,19,7,1294.11,136.16
2026-01-04,Switzerland,Social Media,Tablet,Rings,79,99,56,12,6,2,316.88,20.53
2026-01-04,Switzerland,Direct,Desktop,Bracelets,180,208,162,14,7,3,269.95,0.0
2026-01-04,Germany,Direct,Mobile,Watches,213,281,177,25,14,8,1846.28,0.0
2026-01-04,Germany,Direct,Tablet,Bracelets,34,39,20,2,1,0,0.0,0.0
2026-01-04,Germany,Referral,Desktop,Earrings,56,71,49,7,3,1,61.24,0.0
2026-01-04,Germany,Referral,Mobile,Watches,169,204,139,29,16,6,1503.9,0.0
2026-01-04,Austria,Referral,Tablet,Rings,14,20,14,2,1,0,0.0,0.0
2026-01-05,Germany,Organic Search,Desktop,Bracelets,285,352,219,19,8,3,239.1,0.0
2026-01-05,Germany,Organic Search,Mobile,Bracelets,338,445,305,61,38,16,1175.15,0.0
2026-01-05,Austria,Organic Search,Tablet,Earrings,85,97,49,7,4,1,68.03,0.0
2026-01-05,Austria,Paid Search,Desktop,Bracelets,259,333,162,16,9,4,293.37,164.51
2026-01-05,Austria,Paid Search,Mobile,Rings,323,408,257,56,36,16,2344.07,257.4
2026-01-05,Switzerland,Paid Search,Tablet,Earrings,174,209,149,16,9,4,249.9,195.74
2026-01-05,Germany,Email,Desktop,Earrings,138,178,80,10,5,3,248.11,10.48
2026-01-05,Germany,Email,Mobile,Necklaces,139,172,120,18,9,5,479.69,4.93
2026-01-05,Austria,Email,Tablet,Watches,86,99,74,8,5,2,500.36,3.66
2026-01-05,Austria,Social Media,Desktop,Watches,217,250,163,28,19,7,1488.19,115.57
2026-01-05,Austria,Social Media,Mobile,Watches,260,345,239,38,19,7,1710.4,152.12
2026-01-05,Germany,Social Media,Tablet,Necklaces,89,113,77,15,11,4,389.8,45.02
2026-01-05,Austria,Direct,Desktop,Rings,197,242,147,26,14,7,1136.04,0.0
2026-01-05,Switzerland,Direct,Mobile,Earrings,213,273,189,32,22,12,994.52,0.0
2026-01-05,Germany,Direct,Tablet,Rings,63,72,33,2,1,0,0.0,0.0
2026-01-05,Germany,Referral,Desktop,Rings,42,50,34,3,1,0,0.0,0.0
2026-01-05,Switzerland,Referral,Mobile,Bracelets,104,140,89,14,9,3,294.47,0.0
2026-01-05,Austria,Referral,Tablet,Watches,62,74,46,7,3,1,238.35,0.0
2026-01-06,Austria,Organic Search,Desktop,Watches,314,420,253,32,20,10,2221.76,0.0
2026-01-06,Austria,Organic Search,Mobile,Watches,373,494,288,42,21,10,2634.37,0.0
2026-01-06,Austria,Organic Search,Tablet,Earrings,167,212,96,19,12,6,479.43,0.0
2026-01-06,Switzerland,Paid Search,Desktop,Necklaces,286,333,176,33,17,7,711.47,300.27
2026-01-06,Austria,Paid Search,Mobile,Necklaces,369,509,294,28,20,8,699.41,429.22
2026-01-06,Germany,Paid Search,Tablet,Watches,114,141,108,21,11,5,1222.43,87.33
2026-01-06,Austria,Email,Desktop,Watches,126,148,78,13,8,4,775.81,6.46
2026-01-06,Switzerland,Email,Mobile,Rings,185,227,138,24,15,8,1390.33,10.96
2026-01-06,Germany,Email,Tablet,Earrings,84,96,50,4,2,1,62.36,2.18
2026-01-06,Switzerland,Social Media,Desktop,Watches,185,240,149,13,9,3,715.88,109.19
2026-01-06,Austria,Social Media,Mobile,Rings,242,324,192,18,10,3,523.97,84.37
2026-01-06,Germany,Social Media,Tablet,Rings,118,133,99,9,5,1,158.3,33.28
2026-01-06,Switzerland,Direct,Desktop,Necklaces,204,277,145,24,17,7,795.4,0.0
2026-01-06,Switzerland,Direct,Mobile,Watches,211,279,206,32,20,11,2712.89,0.0
2026-01-06,Germany,Direct,Tablet,Necklaces,114,153,75,8,4,2,162.49,0.0
2026-01-06,Austria,Referral,Desktop,Rings,90,109,49,5,2,0,0.0,0.0
2026-01-06,Germany,Referral,Mobile,Watches,107,133,103,8,5,2,444.54,0.0
2026-01-06,Austria,Referral,Tablet,Rings,29,40,24,3,1,0,0.0,0.0
2026-01-07,Switzerland,Organic Search,Desktop,Watches,282,367,246,38,20,11,2441.3,0.0
2026-01-07,Germany,Organic Search,Mobile,Necklaces,411,516,375,36,23,12,1140.6,0.0
2026-01-07,Germany,Organic Search,Tablet,Earrings,71,90,63,7,3,1,61.14,0.0
2026-01-07,Austria,Paid Search,Desktop,Bracelets,263,357,172,31,21,9,800.64,280.25
2026-01-07,Switzerland,Paid Search,Mobile,Rings,357,418,315,56,41,19,3198.91,232.56
2026-01-07,Switzerland,Paid Search,Tablet,Bracelets,134,167,124,15,9,3,236.93,110.98
2026-01-07,Austria,Email,Desktop,Rings,186,225,151,12,8,4,584.41,13.99
2026-01-07,Germany,Email,Mobile,Necklaces,189,214,122,12,5,2,210.77,16.76
2026-01-07,Germany,Email,Tablet,Bracelets,49,62,35,4,2,1,74.78,1.44
2026-01-07,Switzerland,Social Media,Desktop,Earrings,209,245,114,10,5,1,69.65,63.64
2026-01-07,Germany,Social Media,Mobile,Bracelets,310,403,277,41,26,9,664.92,103.02
2026-01-07,Germany,Social Media,Tablet,Necklaces,110,129,92,11,5,1,85.05,48.64
2026-01-07,Switzerland,Direct,Desktop,Watches,128,149,70,14,6,2,462.67,0.0
2026-01-07,Switzerland,Direct,Mobile,Bracelets,237,299,201,24,13,7,601.57,0.0
2026-01-07,Germany,Direct,Tablet,Watches,84,97,51,8,4,2,408.12,0.0
2026-01-07,Germany,Referral,Desktop,Necklaces,73,100,67,10,5,2,177.21,0.0
2026-01-07,Austria,Referral,Mobile,Bracelets,111,149,106,9,6,2,189.71,0.0
2026-01-07,Austria,Referral,Tablet,Necklaces,53,63,47,7,5,2,190.74,0.0
